DomainLabel	nMuts	nGenes	pfam	Description
GDNF	6	4	pfam02351	GDNF/GAS1 domain
GKAP	6	4	pfam03359	Guanylate-kinase-associated protein (GKAP) protein
Galactosyl_T	6	5	pfam01762	Galactosyltransferase
IFab	6	5	cd00095	Interferon alpha, beta. Includes also interferon omega and tau. Different from interferon gamma family. Type I interferons(alpha, beta) belong to the larger helical cytokine superfamily, which includes growth hormones, interleukins, several...
IL6Ra-bind	6	4	pfam09240	Interleukin-6 receptor alpha chain, binding
IRF	6	4	also known as tryptophan pentad repeat. The family of IRF transcription factors is important in the regulation of interferons in response to infection by virus and in the regulation of interferon-inducible genes. The...	Interferon Regulatory Factor (IRF)
Kelch_3	6	6	cl02701	Galactose oxidase, central domain
LRR_4	6	6	pfam12799	Leucine Rich repeats (2 copies)
MACPF	6	5	smart00457	membrane-attack complex / perforin
Mg_trans_NIPA	6	4	pfam05653	Magnesium transporter NIPA
NOS_oxygenase_euk	6	2	cd00795	Nitric oxide synthase (NOS) eukaryotic oxygenase domain. NOS produces nitric oxide (NO) by catalyzing a five-electron heme-based oxidation of a guanidine nitrogen of L-arginine to L-citrulline via two successive monooxygenation reactions producing N...
Na_trans_assoc	6	3	pfam06512	Sodium ion transport-associated
Nebulin	6	2	cl11595	Nebulin repeat
P4Hc	6	5	smart00702	Prolyl 4-hydroxylase alpha subunit homologues
PAD	6	4	pfam03068	Protein-arginine deiminase (PAD)
PAX	6	2	pfam00292	'Paired box' domain
PBPb	6	5	cd00134	Bacterial periplasmic transport systems use membrane-bound complexes and substrate-bound, membrane-associated, periplasmic binding proteins (PBPs) to transport a wide variety of  substrates, such as, amino acids, peptides, sugars, vitamins and inorganic...
PLN02701	6	2	NA	alpha-mannosidase
PTZ00057	6	4	Provisional	glutathione s-transferase
PTZ00184	6	6	Provisional	calmodulin
PepO	6	4	COG3590	Predicted metalloendopeptidase [Posttranslational modification, protein turnover, chaperones]
RCC1	6	5	pfam00415	Regulator of chromosome condensation (RCC1) repeat
RICIN	6	4	Carbohydrate-binding domain formed from presumed gene triplication. The domain is found in a variety of molecules serving diverse functions such as enzymatic activity, inhibitory toxicity and signal transduction. Highly specific...	Ricin-type beta-trefoil
RNB	6	2	pfam00773	RNB domain
SEA	6	5	cl02507	SEA domain
STKc_CDKL2_3	6	2	cd07846	Catalytic domain of the Serine/Threonine Kinases, Cyclin-Dependent protein Kinase Like 2 and 3
STYKc	6	4	unclassified specificity	Protein kinase
Sec7	6	5	Domain named after the S. cerevisiae SEC7 gene product. The Sec7 domain is the central domain of the guanine-nucleotide-exchange factors (GEFs) of the ADP-ribosylation factor family of small GTPases (ARFs) . It carries the exchange factor...	Sec7 domain
Sema	6	4	smart00630	semaphorin domain
Sulfotransfer_2	6	6	pfam03567	Sulfotransferase family
TF_AP-2	6	3	pfam03299	Transcription factor AP-2
THAP	6	4	pfam05485	THAP domain
TyrKc	6	3	smart00219	Tyrosine kinase, catalytic domain
Ube1	6	2	TIGR01408	ubiquitin-activating enzyme E1
V_ATPase_I	6	4	pfam01496	V-type ATPase 116kDa subunit family
Xin	6	2	pfam08043	Xin repeat
alcohol_DH_class_I_II_IV	6	4	cd08299	class I, II, IV alcohol dehydrogenases
alkPPc	6	2	alkaline phosphatases are non-specific phosphomonoesterases that catalyze the hydrolysis reaction via a phosphoseryl intermediate to produce inorganic phosphate and the corresponding alcohol, optimally at high pH	Alkaline phosphatase homologues
vWFA_subfamily_ECM	6	4	cd01450	Von Willebrand factor type A (vWA) domain was originally found in the blood coagulation protein von Willebrand factor (vWF). Typically, the vWA domain is made up of approximately 200 amino acid residues folded into a classic a/b para-rossmann type of...
A2M_2	5	3	cd02897	Proteins similar to alpha2-macroglobulin (alpha (2)-M). This group also contains the pregnancy zone protein (PZP).  Alpha(2)-M and PZP are broadly specific proteinase inhibitors. Alpha (2)-M is a major carrier protein in serum. The structural thioester...
AAT_I	5	4	cl00321	Aspartate aminotransferase (AAT) superfamily (fold type I) of pyridoxal phosphate (PLP)-dependent enzymes. PLP combines with an alpha-amino acid to form a compound called a Schiff base or aldimine intermediate, which depending on the reaction, is the...
AMP_deaminase	5	2	TIGR01429	AMP deaminase
AarF	5	2	COG0661	Predicted unusual protein kinase [General function prediction only]
Ammonium_transp	5	4	pfam00909	Ammonium Transporter Family
Arfaptin	5	3	pfam06456	Arfaptin-like domain
BACK	5	4	smart00875	BTB And C-terminal Kelch
BBC	5	5	smart00502	B-Box C-terminal domain
Bcl-2_like	5	5	cd06845	Apoptosis regulator proteins of the Bcl-2 family, named after B-cell lymphoma 2. This alignment model spans what have been described as Bcl-2 homology regions BH1, BH2, BH3, and BH4. Many members of this family have an additional C-terminal transmembrane...
C2A_RIM1alpha	5	3	cd04031	C2 domain first repeat contained in Rab3-interacting molecule (RIM) proteins
CABIT	5	3	pfam12736	Cell-cycle sustaining, positive selection
CFTR_protein	5	1	TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)
CLH	5	2	smart00299	Clathrin heavy chain repeat homology
COG2911	5	1	NA	Uncharacterized protein conserved in bacteria [Function unknown]
COG4581	5	2	NA	Superfamily II RNA helicase [DNA replication, recombination, and repair]
Calsequestrin	5	2	pfam01216	Calsequestrin
Carboxyl_trans	5	3	pfam01039	Carboxyl transferase domain
Cast	5	2	pfam10174	RIM-binding protein of the cytomatrix active zone
Chemokine_CXC	5	4	includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity	Chemokine_CXC:  1 of 4 subgroup designations based on the arrangement of the two N-terminal cysteine residues
CitT	5	3	COG0471	Di- and tricarboxylate transporters [Inorganic ion transport and metabolism]
D-HYD	5	3	DHPases are a family of enzymes that catalyze the reversible hydrolytic ring opening of the amide bond in five- or six-membered cyclic diamides, like dihydropyrimidine...	D-hydantoinases (D-HYD) also called dihydropyrimidases (DHPase) and related proteins
DEXDc	5	5	smart00487	DEAD-like helicases superfamily
DUF3401	5	3	pfam11881	Domain of unknown function (DUF3401)
DUF3588	5	3	pfam12140	Protein of unknown function (DUF3588)
DUF914	5	2	pfam06027	Eukaryotic protein of unknown function (DUF914)
DegQ	5	2	COG0265	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain [Posttranslational modification, protein turnover, chaperones]
Dpy19	5	4	pfam10034	Q-cell neuroblast polarisation
ENTH_epsin	5	4	The epsin (Eps15 interactor) N-terminal homology (ENTH) domain is an evolutionarily conserved protein module found primarily in proteins that participate in clathrin-mediated endocytosis. A set of proteins previously designated...	ENTH domain, Epsin family
Eukaryotic_PFK	5	2	cd00764	Phosphofructokinase, a key regulatory enzyme in glycolysis, catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-biphosphate. The members belong to a subfamily of the PFKA family (cd00363) and include eukaryotic ATP-dependent...
FAM117	5	3	NA	NA
FYVE	5	4	smart00064	Protein present in Fab1, YOTB, Vac1, and EEA1
Fasciclin	5	3	pfam02469	Fasciclin domain
FhlA	5	3	COG2203	FOG: GAF domain [Signal transduction mechanisms]
GAF	5	4	smart00065	Domain present in phytochromes and cGMP-specific phosphodiesterases
GBP_C	5	3	pfam02841	Guanylate-binding protein, C-terminal domain
GCC2_GCC3	5	4	pfam07699	GCC2 and GCC3
Glyco_tranf_GTA_type	5	3	cd00761	Glycosyltransferase family A (GT-A) includes diverse families of glycosyl transferases with a common GT-A type structural fold
Golgin_A5	5	2	pfam09787	Golgin subfamily A member 5
IG	5	3	smart00409	Immunoglobulin
IRK	5	5	pfam01007	Inward rectifier potassium channel
Ig_3	5	4	pfam13927	Immunoglobulin domain
Ion_trans_2	5	5	pfam07885	Ion channel
K167R	5	1	pfam08065	K167R (NUC007) repeat
KH-I	5	5	cd00105	K homology RNA-binding domain, type I.  KH binds single-stranded RNA or DNA. It is found in a wide variety of proteins including ribosomal proteins, transcription factors and post-transcriptional modifiers of mRNA. There are two different KH domains that...
KISc_KIF2_like	5	3	alternative splice forms have been implicated in lysosomal translocation. This catalytic (head) domain...	Kinesin motor domain, KIF2-like group. KIF2 is a protein expressed in neurons, which has been associated with axonal transport and neuron development
LU	5	5	occurs singly in GPI-linked cell-surface glycoproteins (Ly-6 family,CD59, thymocyte B cell antigen, Sgp-2) or as three-fold repeated domain in urokinase-type plasminogen activator receptor. Topology of these...	Ly-6 antigen / uPA receptor -like domain
MAGE_N	5	3	pfam12440	Melanoma associated antigen family N terminal
MAP2_projctn	5	1	pfam08377	MAP2/Tau projection domain
MH1_SMAD_4	5	1	cd10492	N-terminal Mad Homology 1 (MH1) domain in SMAD4
MHC_I	5	2	pfam00129	Class I Histocompatibility antigen, domains alpha 1 and 2
MPH1	5	2	COG1111	ERCC4-like helicases [DNA replication, recombination, and repair]
Mab-21	5	3	NA	NA
MutS	5	3	COG0249	Mismatch repair ATPase (MutS family) [DNA replication, recombination, and repair]
NEBU	5	3	smart00227	The Nebulin repeat is present also in Las1
NHS	5	2	NA	NA
NR_LBD_RAR	5	1	cd06937	The ligand binding domain (LBD) of retinoic acid receptor (RAR), a members of the nuclear receptor superfamily
Nckap1	5	2	pfam09735	Membrane-associated apoptosis protein
P2X	5	4	TIGR00863	cation transporter protein
PBP1_iGluR_Kainate_KA1_2	5	2	cd06394	N-terminal leucine/isoleucine/valine-binding protein (LIVBP)-like domain of the KA1 and KA2 subunits of Kainate receptor
PBP1_iGluR_NMDA_NR2	5	3	cd06378	N-terminal leucine/isoleucine/valine-binding protein (LIVBP)-like domain of the NR2 subunit of NMDA receptor family
PHA02882	5	4	Provisional	putative serine/threonine kinase
PHA03307	5	2	Provisional	transcriptional regulator ICP4
PLN02228	5	5	NA	Phosphoinositide phospholipase C
PRK03918	5	1	Provisional	chromosome segregation protein
PRK05218	5	2	Provisional	heat shock protein 90
PRY	5	5	smart00589	associated with SPRY domains
PSI	5	5	cl02601	Plexin repeat
PTZ00121	5	3	Provisional	MAEBL
PTZ00421	5	3	Provisional	coronin
Patched	5	2	pfam02460	Patched family
Phosphodiest	5	4	pfam01663	Type I phosphodiesterase / nucleotide pyrophosphatase
SAM	5	5	smart00454	Sterile alpha motif
SANT	5	5	cl15779	'SWI3, ADA2, N-CoR and TFIIIB' DNA-binding domains. Tandem copies of the domain bind telomeric DNA tandem repeatsas part of the capping complex. Binding is sequence dependent for repeats which contain the G/C rich motif [C2-3 A (CA)1-6]. The domain is...
SEC14	5	5	cd00170	Sec14p-like lipid-binding domain. Found in secretory proteins, such as S. cerevisiae phosphatidylinositol transfer protein (Sec14p), and in lipid regulated proteins such as RhoGAPs, RhoGEFs and neurofibromin (NF1). SEC14 domain of Dbl is known to...
SIN3	5	2	COG5602	Histone deacetylase complex, SIN3 component [Chromatin structure and dynamics]
STKc_YSK4	5	1	cd06631	Catalytic domain of the Protein Serine/Threonine Kinase, Yeast Sps1/Ste20-related kinase 4
Sarcoglycan_1	5	3	pfam04790	Sarcoglycan complex subunit protein
SpoVK	5	2	COG0464	ATPases of the AAA+ class [Posttranslational modification, protein turnover, chaperones]
Sulfatase	5	5	cl10460	Sulfatase
TFIIA	5	2	pfam03153	Transcription factor IIA, alpha/beta subunit
TGFB	5	5	smart00204	Transforming growth factor-beta (TGF-beta) family
TIL	5	4	pfam01826	Trypsin Inhibitor like cysteine rich domain
TIR	5	5	pfam01582	TIR domain
TMEM151	5	2	NA	NA
Tektin	5	5	NA	NA
UBCc	5	5	smart00212	Ubiquitin-conjugating enzyme E2, catalytic domain homologues
UPF0560	5	4	pfam10577	Uncharacterized protein family UPF0560
Vinculin	5	2	pfam01044	Vinculin family
WNT1	5	3	smart00097	found in Wnt-1
WW	5	5	pfam00397	WW domain
WcaA	5	3	COG0463	Glycosyltransferases involved in cell wall biogenesis [Cell envelope biogenesis, outer membrane]
XK-related	5	3	pfam09815	XK-related protein
Zip	5	4	pfam02535	ZIP Zinc transporter
fn3	5	5	pfam00041	Fibronectin type III domain
globin	5	4	cd01040	Globins are heme proteins, which bind and transport oxygen. This family summarizes a diverse set of homologous protein domains, including: (1) tetrameric vertebrate hemoglobins, which are the major protein component of erythrocytes and transport oxygen...
glyc_debranch	5	1	TIGR01531	glycogen debranching enzyme
ovalbumin_like	5	3	cd02059	The ovalbumin_like group of serpins contains ovalbumin, the squamous cell carcinoma antigen 1 (SCCA1) and other closely related serpins of clade B of the serpin superfamily. Ovalbumin, the major protein component of avian egg white, is a non-inhibitory...
vigilin_like_KH	5	2	cd02394	K homology RNA-binding domain_vigilin_like.  The vigilin family is a large and extended family of multiple KH-domain proteins, including vigilin, also called high density lipoprotein binding protien (HBP), fungal Scp160 and bicaudal-C. Yeast Scp160p has...
zf-C2H2	5	4	cl15478	Zinc finger, C2H2 type
2A0303	4	3	TIGR00906	cationic amino acid transport permease
2A060601	4	2	TIGR00917	Niemann-Pick C type protein family
A2M	4	4	pfam00207	Alpha-2-macroglobulin family
ABC2_membrane_3	4	4	pfam12698	ABC-2 family transporter protein
ABC_subfamily_A	4	2	cd03263	The ABCA subfamily mediates the transport of a variety of lipid compounds.  Mutations of members of ABCA subfamily are associated with human genetic diseases, such as, familial high-density lipoprotein (HDL) deficiency, neonatal surfactant deficiency
ACAD	4	2	cl09933	Acyl-CoA dehydrogenase
AIG1	4	4	cd01852	AvrRpt2-Induced Gene 1 (AIG1)
AKAP_110	4	3	cl14906	A-kinase anchor protein 110 kDa (AKAP 110)
ALDH-SF	4	2	cl11961	NAD(P)+-dependent aldehyde dehydrogenase superfamily
ALDH_F1AB_F2_RALDH1	4	2	cd07141	NAD+-dependent retinal dehydrogenase 1, ALDH families 1A, 1B, and 2-like
ALDH_F1L_FTFDH	4	2	cd07140	10-formyltetrahydrofolate dehydrogenase, ALDH family 1L
ATPase-IIA2_Ca	4	2	TIGR01522	golgi membrane calcium-translocating P-type ATPase
Adap_comp_sub	4	2	pfam00928	Adaptor complexes medium subunit family
Alpha_L_fucos	4	2	smart00812	Alpha-L-fucosidase
ArsB_NhaD_permease	4	2	cl15356	Anion permease ArsB/NhaD.  These permeases have been shown to translocate sodium, arsenate, antimonite, sulfate and organic anions across biological membranes in all three kingdoms of life.  A typical anion permease contains 8-13 transmembrane helices...
Ax_dynein_light	4	2	pfam10211	Axonemal dynein light chain
B56	4	3	pfam01603	Protein phosphatase 2A regulatory B subunit (B56 family)
BBOX	4	4	zinc binding domain (CHC3H2)	B-Box-type zinc finger
BEN	4	4	smart01025	The BEN domain is found in diverse animal proteins
BRO1_HD-PTP_like	4	1	cd09239	Protein-interacting, N-terminal, Bro1-like domain of mammalian His-Domain type N23 protein tyrosine phosphatase and related domains
Bestrophin	4	3	pfam01062	Bestrophin, RFP-TM, chloride channel
BioF	4	3	COG0156	7-keto-8-aminopelargonate synthetase and related enzymes [Coenzyme metabolism]
C1	4	3	cd00029	Protein kinase C conserved region 1 (C1) . Cysteine-rich zinc binding domain. Some members of this domain family bind phorbol esters and diacylglycerol, some are reported to bind RasGTP. May occur in tandem arrangement. Diacylglycerol (DAG) is a second...
